image,grid_width,block_width,start,goal,cpu_runtime,gpu_runtime,cpu_path_length,gpu_path_length,cpu_path_exists,gpu_path_exists
dataset/select-maps/simplest/arena.png,256,8,5979,51345,0.22197684994898736,0.03045951295644045,178,178,True,True
dataset/select-maps/simplest/orz704d.png,256,8,27860,35599,0.19153987104073167,0.03157168906182051,198,198,True,True
dataset/select-maps/simplest/combat.png,256,8,58931,7252,0.06636314396746457,0.02877052198164165,205,205,True,True
dataset/select-maps/simplest/combat2.png,256,8,19228,63876,0.11314611812122166,0.03526059491559863,175,175,True,True
dataset/select-maps/simplest/lak101d.png,256,8,18631,59500,0.13348222896456718,0.026542205130681396,164,0,True,False
dataset/select-maps/simplest/lak101d.png,256,8,64825,21216,0.07983114011585712,0.028090150095522404,213,213,True,True
dataset/select-maps/simplest/combat2.png,256,8,4917,51611,0.1535303951241076,0.03108518081717193,186,188,True,True
dataset/select-maps/simplest/combat.png,256,8,46572,16422,0.10078577091917396,0.03205667296424508,199,199,True,True
dataset/select-maps/simplest/orz704d.png,256,8,28170,34503,0.20480463886633515,0.024377361871302128,190,190,True,True
dataset/select-maps/simplest/arena.png,256,8,7284,52033,0.21414917311631143,0.02843101415783167,176,0,True,False
dataset/select-maps/simplest/arena.png,256,8,53646,2524,0.07241110503673553,0.03498845407739282,210,0,True,False
dataset/select-maps/simplest/lak507d.png,256,8,14190,58799,0.18916862783953547,0.03007171582430601,175,176,True,True
dataset/select-maps/simplest/lak307d.png,256,8,6048,58810,0.32555561093613505,0.037065885961055756,207,208,True,True
dataset/select-maps/simplest/combat2.png,256,8,25830,16937,0.14992239698767662,0.028241025051102042,190,190,True,True
dataset/select-maps/simplest/combat2.png,256,8,17091,57174,0.09935592697001994,0.034224328119307756,158,159,True,True
dataset/select-maps/simplest/ost004d.png,256,8,51413,34831,0.13378700497560203,0.027672847965732217,199,199,True,True
dataset/select-maps/simplest/arena.png,256,8,2436,52959,0.18287485488690436,0.034369057044386864,198,198,True,True
dataset/select-maps/simplest/lak307d.png,256,8,49807,5461,0.06438310793600976,0.028683627024292946,174,174,True,True
dataset/select-maps/simplest/lak507d.png,256,8,32055,47079,0.16941331489942968,0.03190140309743583,177,177,True,True
dataset/select-maps/simplest/combat.png,256,8,418,51954,0.16437119711190462,0.029944329988211393,202,203,True,True
dataset/select-maps/simplest/lak101d.png,256,8,13109,58236,0.188558551017195,0.025917100021615624,177,177,True,True
dataset/select-maps/simplest/ost004d.png,256,8,41018,15840,0.09268230712041259,0.03435637895017862,172,172,True,True
dataset/select-maps/simplest/orz704d.png,256,8,30993,33759,0.24233479402028024,0.025847560027614236,207,0,True,False
dataset/select-maps/simplest/lak101d.png,256,8,13699,59966,0.16545735788531601,0.03232883382588625,182,182,True,True
dataset/select-maps/simplest/ost004d.png,256,8,19431,38192,0.12106242007575929,0.0266145549248904,184,185,True,True
dataset/select-maps/simplest/combat2.png,256,8,1233,49207,0.09051521588116884,0.03281736606732011,189,203,True,True
dataset/select-maps/simplest/lak307d.png,256,8,15582,51780,0.06862509599886835,0.02905651810579002,160,178,True,True
dataset/select-maps/simplest/ost004d.png,256,8,12993,55624,0.10069317580200732,0.031314017018303275,168,173,True,True
dataset/select-maps/simplest/combat.png,256,8,27826,48913,0.09887987608090043,0.030299347825348377,162,162,True,True
dataset/select-maps/simplest/orz704d.png,256,8,33554,37329,0.19498130097053945,0.0283235099632293,192,192,True,True
dataset/select-maps/simplest/lak507d.png,256,8,15304,32526,0.15574187296442688,0.026021655183285475,187,189,True,True
dataset/select-maps/simplest/lak507d.png,256,8,19431,36382,0.1583072489593178,0.02645814884454012,202,203,True,True
dataset/select-maps/simplest/lak101d.png,256,8,62797,10851,0.06906472286209464,0.033281850162893534,204,204,True,True
dataset/select-maps/simplest/ost004d.png,256,8,6581,46422,0.11652767308987677,0.02834751596674323,157,159,True,True
dataset/select-maps/simplest/lak307d.png,256,8,46374,18623,0.08412246685475111,0.03471706807613373,168,168,True,True
dataset/select-maps/simplest/combat2.png,256,8,63039,32215,0.0852750581689179,0.029206823091953993,177,177,True,True
dataset/select-maps/simplest/combat.png,256,8,54846,30937,0.093874221900478,0.03346857684664428,167,167,True,True
dataset/select-maps/simplest/ost004d.png,256,8,47661,27862,0.10886268597096205,0.028000368969514966,174,174,True,True
dataset/select-maps/simplest/lak307d.png,256,8,11842,63085,0.2827970788348466,0.03268306399695575,201,201,True,True
dataset/select-maps/simplest/combat.png,256,8,59013,2643,0.07266298681497574,0.029796802205964923,221,221,True,True
dataset/select-maps/simplest/arena.png,256,8,63267,39158,0.13672431511804461,0.03259194106794894,218,218,True,True
dataset/select-maps/simplest/arena.png,256,8,11033,58638,0.2348381590563804,0.027243484975770116,187,187,True,True
dataset/select-maps/simplest/combat2.png,256,8,57,44948,0.15128493285737932,0.029278211994096637,176,176,True,True
dataset/select-maps/simplest/arena.png,256,8,4523,56383,0.16443490888923407,0.0355760520324111,204,208,True,True
dataset/select-maps/simplest/lak307d.png,256,8,7866,51526,0.11012792494148016,0.030385921942070127,172,177,True,True
dataset/select-maps/simplest/ost004d.png,256,8,33032,32714,0.1967336260713637,0.034385580103844404,195,195,True,True
dataset/select-maps/simplest/arena.png,256,8,6691,56054,0.08060452481731772,0.030222411965951324,212,0,True,False
dataset/select-maps/simplest/lak507d.png,256,8,26300,35849,0.1767462589778006,0.03047032793983817,180,180,True,True
dataset/select-maps/simplest/combat2.png,256,8,35632,7141,0.2353467750363052,0.03120180987752974,193,0,True,False
dataset/select-maps/simplest/arena.png,256,8,55720,27661,0.07449702802114189,0.03113003307953477,156,156,True,True
dataset/select-maps/simplest/ost004d.png,256,8,53809,33520,0.3287315769121051,0.02884498587809503,193,0,True,False
dataset/select-maps/simplest/lak101d.png,256,8,14945,62524,0.18227968201972544,0.028462800895795226,187,187,True,True
dataset/select-maps/simplest/lak307d.png,256,8,36922,15579,0.09962852695025504,0.026575277792289853,166,166,True,True
dataset/select-maps/simplest/lak101d.png,256,8,24029,59468,0.1286824820563197,0.025626580929383636,186,0,True,False
dataset/select-maps/simplest/combat2.png,256,8,4142,64025,0.336161726154387,0.03728371299803257,242,0,True,False
dataset/select-maps/simplest/lak307d.png,256,8,5233,54864,0.28282610210590065,0.029739839024841785,195,195,True,True
dataset/select-maps/simplest/ost004d.png,256,8,6583,39200,0.06476815207861364,0.033872160129249096,153,158,True,True
dataset/select-maps/simplest/lak307d.png,256,8,13528,56977,0.169909497955814,0.028688615886494517,171,172,True,True
dataset/select-maps/simplest/ost004d.png,256,8,10636,60083,0.2759369120467454,0.03239787998609245,194,194,True,True
dataset/select-maps/simplest/lak307d.png,256,8,15667,56726,0.12001369195058942,0.03111560200341046,161,162,True,True
dataset/select-maps/simplest/lak307d.png,256,8,11842,48317,0.07647984498180449,0.03229214111343026,143,145,True,True
dataset/select-maps/simplest/combat.png,256,8,933,29460,0.07274699187837541,0.02983806491829455,146,154,True,True
dataset/select-maps/simplest/combat2.png,256,8,51755,11921,0.0651372920256108,0.03332041506655514,169,169,True,True
dataset/select-maps/simplest/lak507d.png,256,8,36124,19929,0.13215021300129592,0.026150468038395047,191,191,True,True
dataset/select-maps/simplest/lak507d.png,256,8,56496,20242,0.06319899996742606,0.026608966989442706,160,160,True,True
dataset/select-maps/simplest/orz704d.png,256,8,41163,31511,0.14014398399740458,0.02965885982848704,181,181,True,True
dataset/select-maps/simplest/lak507d.png,256,8,12585,47045,0.07725291885435581,0.02959106187336147,157,158,True,True
dataset/select-maps/simplest/arena.png,256,8,58131,42215,0.13774691009894013,0.036881793988868594,214,0,True,False
dataset/select-maps/simplest/arena.png,256,8,24529,61776,0.07490152982063591,0.029459899058565497,150,159,True,True
dataset/select-maps/simplest/lak507d.png,256,8,51154,20775,0.07725616591051221,0.03072043787688017,172,172,True,True
dataset/select-maps/simplest/lak101d.png,256,8,62793,19374,0.0672559489030391,0.025427706073969603,183,183,True,True
dataset/select-maps/simplest/lak507d.png,256,8,47128,22752,0.12043957109563053,0.03004775382578373,207,207,True,True
dataset/select-maps/simplest/arena.png,256,8,53749,36161,0.11229609092697501,0.029420636128634214,181,181,True,True
dataset/select-maps/simplest/combat2.png,256,8,795,65327,0.6385647880379111,0.033052989980205894,253,0,True,False
dataset/select-maps/simplest/lak307d.png,256,8,47836,33304,0.13202428282238543,0.027007640106603503,197,197,True,True
dataset/select-maps/simplest/combat2.png,256,8,9371,54993,0.21608476690016687,0.029539213050156832,179,179,True,True
dataset/select-maps/simplest/lak307d.png,256,8,15843,15136,0.18579970602877438,0.0337613217998296,196,196,True,True
dataset/select-maps/simplest/arena.png,256,8,11121,55232,0.15127828903496265,0.03032108792103827,173,174,True,True
dataset/select-maps/simplest/combat.png,256,8,37674,2766,0.08345809392631054,0.035556141985580325,193,193,True,True
dataset/select-maps/simplest/arena.png,256,8,1697,61847,0.4106992371380329,0.029440758051350713,236,236,True,True
dataset/select-maps/simplest/orz704d.png,256,8,33556,29141,0.16209383704699576,0.027978834928944707,194,194,True,True
dataset/select-maps/simplest/ost004d.png,256,8,50996,33501,0.11366063100285828,0.02861907798796892,174,174,True,True
dataset/select-maps/simplest/arena.png,256,8,11819,5351,0.13232569000683725,0.03141410602256656,189,0,True,False
dataset/select-maps/simplest/lak101d.png,256,8,17284,59448,0.14282574108801782,0.02597278216853738,166,168,True,True
dataset/select-maps/simplest/ost004d.png,256,8,34069,14786,0.10925706289708614,0.030099714174866676,181,181,True,True
dataset/select-maps/simplest/combat2.png,256,8,64790,9233,0.06721817306242883,0.028248630929738283,218,218,True,True
dataset/select-maps/simplest/ost004d.png,256,8,49878,44832,0.15670285699889064,0.027021684916689992,183,183,True,True
dataset/select-maps/simplest/orz704d.png,256,8,35621,38619,0.1864885319955647,0.032663356978446245,183,183,True,True
dataset/select-maps/simplest/ost004d.png,256,8,12349,51390,0.09787696902640164,0.02929449686780572,167,0,True,False
dataset/select-maps/simplest/ost004d.png,256,8,7777,58037,0.1897519959602505,0.036260978085920215,197,197,True,True
dataset/select-maps/simplest/lak507d.png,256,8,17624,18720,0.18406553799286485,0.0254071441013366,185,185,True,True
dataset/select-maps/simplest/lak307d.png,256,8,46103,45524,0.19306840910576284,0.03193780779838562,190,190,True,True
dataset/select-maps/simplest/combat.png,256,8,11326,37854,0.10390039812773466,0.031116611091420054,161,161,True,True
dataset/select-maps/simplest/lak101d.png,256,8,18103,62270,0.09768218989484012,0.027786436025053263,174,179,True,True
dataset/select-maps/simplest/ost004d.png,256,8,51633,12361,0.13573353295214474,0.027217447059229016,156,0,True,False
dataset/select-maps/simplest/lak507d.png,256,8,58300,9290,0.06409151200205088,0.02938457694835961,192,192,True,True
dataset/select-maps/simplest/lak307d.png,256,8,51250,6053,0.06625824305228889,0.026145901065319777,196,197,True,True
dataset/select-maps/simplest/lak101d.png,256,8,59204,14715,0.06209673802368343,0.0253650879021734,180,180,True,True
dataset/select-maps/simplest/ost004d.png,256,8,44829,45545,0.21525089209899306,0.03435761388391256,205,205,True,True
dataset/select-maps/simplest/lak507d.png,256,8,57956,4993,0.06460512802004814,0.027566659962758422,208,208,True,True
